Date,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Routes Completed,Doors in Route,Time Spent,Bags/Door,Bags/Route,Total Volunteers,Neighbourhood,ID
2023-09-23 11:09:47,Riverbend Stake,Greenfield Ward,2,0,30,50,1,172,50,0.1744186046511628,30.0,2,Greenfield,18
2023-09-23 11:38:06,Riverbend Stake,Rutherford Ward,1,2,18,40,1,14,40,1.2857142857142858,18.0,3,Rutherford,19
2023-09-23 11:24:00,Edmonton North Stake,Griesbach Ward,2,0,9,20,1,100,20,0.09,9.0,2,Griesbach,20
2023-09-23 11:23:00,Bonnie Doon Stake,Londonderry Ward,2,0,20,35,1,100,40,0.2,20.0,2,Londonderry,21
2023-09-23 11:23:31,Gateway Stake,Ellerslie Ward,2,1,22,50,1,191,50,0.1151832460732984,22.0,3,Ellerslie,22
2023-09-23 11:03:09,Bonnie Doon Stake,Forest Heights Ward,2,2,10,20,2,120,20,0.0833333333333333,5.0,4,Forest Heights,23
2023-09-23 11:03:03,Bonnie Doon Stake,Londonderry Ward,2,0,16,25,1,98,25,0.1632653061224489,16.0,2,Londonderry,24
2023-09-23 10:56:13,Bonnie Doon Stake,Coronation Park Ward,2,1,25,55,1,20,55,1.25,25.0,3,Coronation Park,25
2023-09-23 11:53:00,Riverbend Stake,Greenfield Ward,2,1,48,44,2,208,44,0.2307692307692307,24.0,3,Greenfield,26
2023-09-23 11:19:28,Riverbend Stake,Rabbit Hill Ward,4,2,59,60,2,236,60,0.25,29.5,6,Rabbit Hill,27
2023-09-23 11:17:13,Riverbend Stake,Rabbit Hill Ward,2,3,22,30,1,80,40,0.275,22.0,5,Rabbit Hill,28
2023-09-23 19:54:53,Riverbend Stake,Greenfield Ward,2,10,29,40,3,200,40,0.145,9.666666666666666,12,Greenfield,29
2023-09-23 11:53:13,Riverbend Stake,Woodbend Ward,1,2,40,30,1,220,30,0.1818181818181818,40.0,3,Woodbend,30
2023-09-23 12:44:29,Riverbend Stake,Woodbend Ward,2,3,88,40,1,380,15,0.231578947368421,88.0,5,Woodbend,31
2023-09-24 21:45:56,Edmonton North Stake,Stony Plain Ward,2,0,140,30,1,130,60,1.0769230769230769,140.0,2,Stony Plain,32
2023-09-23 11:11:38,Edmonton North Stake,Griesbach Ward,2,3,29,60,1,107,60,0.2710280373831775,29.0,5,Griesbach,33
2023-09-23 11:09:16,Edmonton North Stake,Griesbach Ward,2,1,21,45,1,206,45,0.1019417475728155,21.0,3,Griesbach,34
2023-09-23 11:09:20,Edmonton North Stake,Griesbach Ward,1,1,23,45,1,206,45,0.1116504854368932,23.0,2,Griesbach,35
2023-09-23 12:08:36,Edmonton North Stake,Griesbach Ward,1,5,16,30,1,120,30,0.1333333333333333,16.0,6,Griesbach,36
